,German,English
282,Ok,OK
283,Hör,Listen
284,machst,do
285,Freund,Friend
286,richtig,correct
287,Angst,Fear
288,Bist,Are
289,Tut,Does
290,Mit,With
291,viele,many
292,sieht,sees
293,Haus,House
294,tot,dead
295,sollen,should
296,ganze,whole
297,andere,other
298,getan,did
299,okay,OK
300,rein,pure
301,Diese,This
302,Moment,moment
303,bleiben,remain
304,brauchen,need
305,Weil,Because
306,Kinder,Children
307,unter,under
308,Arbeit,Work
309,Für,For
310,Problem,problem
311,dafür,for that
312,Herr,Mister
313,Haben,Have
314,wegen,because of
315,geht's,it's okay
316,liebe,love
317,genug,enough
318,dabei,included
319,bringen,bring
320,Ihre,Her
321,ne,no
322,gegen,against
323,Weißt,You know
324,Sag,say
325,schnell,fast
326,nun,so
327,brauche,need
328,Abend,Evening
329,hatten,had
330,Jahre,Years
331,Mach,Do
332,Bruder,Brother
333,Sache,Matter
334,hören,hear
335,komm,come
336,Sohn,Son
337,seit,since
338,Morgen,Morning
339,drei,three
340,steht,stands
341,Scheiße,Fuck
342,mag,like
343,sei,be
344,unser,our
345,konnte,could
346,habt,have
347,Oder,Or
348,einmal,once
349,heißt,is called
350,OK,OK
351,Willst,Want
352,Kopf,Head
353,Hilfe,Help
354,Familie,Family
355,Geh,Go
356,Baby,infant
357,Dich,You
358,Sind,Are
359,erst,first
360,fertig,complete
361,gefunden,found
362,seid,are
363,kam,came
364,nehmen,take
365,morgen,morning
366,sprechen,speak
367,Mir,Me
368,sofort,immediately
369,Kann,Can
370,Hat,Has
371,Jahren,years
372,Kind,child
373,seinen,his
374,Genau,Exactly
375,daran,to it
376,Junge,Boy
377,Minuten,minutes
378,bevor,before
379,Stadt,City
380,beim,at the
381,sterben,die
382,warst,were
383,Recht,Right
384,glauben,believe
385,Warte,Wait
386,darüber,about it
387,deiner,yours
388,deinem,yours
389,Ende,End
390,He,Hey
391,Dinge,Things
392,Namen,names
393,wahr,true
394,Alle,All
395,allein,alone
396,Natürlich,Naturally
397,töten,kill
398,Nichts,Nothing
399,Wirklich,Really
400,bekommen,receive
401,Männer,Men
402,vergessen,forget
403,Doch,But
404,dazu,in addition
405,gab,gave
406,später,later
407,wusste,knew
408,Augen,Eyes
409,Dank,Thanks to
410,Freunde,Friends
411,Jungs,guys
412,halten,hold
413,warten,wait
414,Glück,Luck
415,beide,both
416,gute,good
417,Dein,Your
418,kennen,know
419,Deine,Your
420,n,n
421,Hi,Hi
422,Dr,Dr
423,Auto,automobile
424,sage,legend
425,gehe,go
426,komme,come
427,Dir,You
428,mache,make
429,Von,From
430,Uhr,Clock
431,sehe,see
432,Teufel,Devil
433,sonst,otherwise
434,Art,Art
435,gern,gladly
436,Liebe,Love
437,jeden,every
438,könnten,could
439,ihren,your
440,Halt,Stop
441,Fall,case
442,Dad,Dad
443,Film,Movie
444,bisschen,a little
445,eigentlich,actually
446,weit,far
447,mach,do
448,Gib,Give
449,vorbei,over
450,verstehe,understand
451,danke,Thanks
452,drin,inside
453,Im,In the
454,Name,Surname
455,ganzen,entire
456,Musik,Music
457,würden,would
458,Tür,door
459,verrückt,crazy
460,solltest,should
461,denken,think
462,Noch,Still
463,Sieh,See
464,lieber,Dear
465,Den,The
466,leben,life
467,Guten,Good
468,Um,Around
469,darauf,on it
470,Kein,No
471,stimmt,true
472,Kerl,Guy
473,letzte,last
474,Job,job
475,verloren,lost
476,wurden,became
477,kenne,know
478,Ahnung,Idea
479,seiner,his
480,Grund,Reason
481,toll,Great
482,Bis,Until
483,Verdammt,Damned
484,bald,soon
485,bereit,ready
486,all,Alles
487,jemanden,someone
488,hinter,behind
489,Schon,Already
490,Sehr,Very
491,Hand,hand
492,darf,may
493,Dieser,This
494,Frauen,Women
495,Euch,You
496,Idee,idea
497,runter,down
498,Macht,Power
499,draußen,outside
500,lang,long
501,Land,country
502,lass,let
503,Typ,Type
504,hätten,would have
505,egal,doesn't matter
506,arbeiten,work
507,spät,late
508,stehen,stand
509,ok,OK
510,Gute,Good
511,gekommen,came
512,Bei,At
513,etwa,approximately
514,essen,eat
515,kleine,small
516,jeder,everyone
517,Schwester,Sister
518,Wasser,Water
519,spielen,play
520,Geschichte,Story
521,seinem,his
522,liegt,lies
523,sah,saw
524,Mom,Mom
525,Seite,Page
526,wenig,few
527,ruhig,quiet
528,Frage,Ask
529,meinst,mean
530,überhaupt,at all
531,fahren,drive
532,Ganz,Quite
533,Gehen,Go
534,Essen,Eat
535,Ruhe,Quiet
536,echt,Really
537,versucht,tried
538,Tochter,Daughter
539,Kommt,Comes
540,Einen,A
541,ging,went
542,Jahr,Year
543,braucht,needs
544,fast,nearly
545,neue,new
546,geh,go
547,ziemlich,quite
548,anders,different
549,siehst,see
550,Polizei,police
551,Stunden,Hours
552,musste,had to
553,Spiel,Game
554,gewesen,been
555,gerne,gladly
556,finde,find
557,erzählt,told
558,Tod,Death
559,Ort,Location
560,Chance,chance
561,bedeutet,means
562,War,Was
563,sag,say
564,sagst,say
565,fragen,questions
566,letzten,last
567,sogar,even
568,ersten,first
569,Sachen,Things
570,Wahrheit,Truth
571,einzige,only
572,kurz,short
573,denen,those
574,Kommen,Come
575,Spaß,Fun
576,Nach,After
577,oben,above
578,Mama,mummy
579,schwer,difficult
580,Schule,School
581,je,ever
582,eben,even
583,Gesicht,Face
584,bestimmt,certainly
585,treffen,meet
586,niemand,no one
587,Woche,Week
588,Entschuldigung,Excuse me
589,Sorgen,Care for
590,warte,wait
591,natürlich,naturally
592,schlecht,bad
593,große,size
594,getötet,killed
595,verstehen,understand
596,hoffe,hope
597,Ah,Uh
598,Sei,Be
599,Zimmer,Room
600,hoch,high
601,unserer,ours
602,Tage,days
603,Teil,Part
604,Wann,When
605,suchen,seek
606,verlassen,leave
607,zeigen,show
608,wollten,wanted to
609,lässt,leaves
610,Wort,Word
611,eins,one
612,zwischen,between
613,Woher,From where
614,Schatz,Treasure
615,Wissen,To know
616,versuchen,attempt
617,Können,Can
618,Kannst,Can
619,nett,kind
620,kriegen,get
621,Geht,Goes
622,Arsch,ass
623,kleinen,small
624,Hab,Have
625,weiss,white
626,erste,first
627,läuft,running
628,Freundin,Girlfriend
629,Mensch,Person
630,beiden,both
631,Ding,thing
632,niemals,never
633,endlich,finally
634,Nimm,take
635,muß,must
636,gehst,go
637,Heute,Today
638,denkst,think
639,Herz,Heart
640,Waffe,weapon
641,Soll,Should
642,tust,do
643,Dollar,dollar
644,nehme,take
645,Schau,Look
646,holen,fetch
647,oft,often
648,drauf,on it
649,anderes,other
650,Niemand,No one
651,unten,below
652,Wagen,Dare
653,Yeah,Yeah
654,Schön,Nice
655,wichtig,important
656,Mrs,Mrs
657,hättest,would have
658,allen,everyone
659,Miss,Miss
660,ihrer,of their
661,gedacht,thought
662,Nummer,number
663,würdest,would
664,erzählen,tell
665,bleibt,remains
666,Auch,Also
667,Hände,hands
668,Blut,blood
669,Sehen,See
670,bloß,just
671,recht,right
672,bringt,brings
673,Bett,Bed
674,Lassen,Let
675,Eltern,Parents
676,gefällt,pleases
677,Schuld,Fault
678,eure,your
679,Plan,plan
680,Krieg,War
681,neuen,new
682,Klar,Clear
683,retten,rescue
684,guter,goods
685,während,while
686,ihrem,theirs
687,wären,would be
688,Fehler,Mistake
689,scheint,appears
690,Lasst,Leaves
691,gegeben,given
692,An,At
693,hör,listen
694,glücklich,happy
695,verdammt,damned
696,alt,old
697,Platz,Place
698,darum,therefore
699,Vielen,Many
700,falsch,incorrect
701,unseren,ours
702,schlafen,sleep
703,Sagen,Say
704,fünf,five
705,frei,free
706,Sorge,Worries
707,Vor,Before
708,fest,firmly
709,bereits,already
710,alleine,alone
711,Denn,Because
712,Zwei,Two
713,Fragen,Questions
714,möglich,possible
715,irgendwie,somehow
716,Papa,father
717,lernen,learn
718,gestern,yesterday
719,hierher,here
720,Schiff,Ship
721,vier,four
722,irgendwas,anything
723,Stimmt,True
724,Menge,Crowd
725,keiner,none
726,brauchst,need
727,Typen,Types
728,Dass,That
729,Stunde,Hour
730,Szene,scene
731,Hölle,hell
732,einige,some
733,Deshalb,For this reason
734,geworden,become
735,Telefon,phone
736,Darf,May
737,Feuer,Fire
738,Wollen,Want
739,Bin,Am
740,Alter,Old
741,Captain,Captain
742,Aus,Out of
743,Dieses,This
744,Probleme,problems
745,Jeder,Everyone
746,verstanden,understood
747,wann,When
748,alten,old
749,gibt's,there is
750,sondern,rather
751,guten,good
752,zwar,that is
753,eigenen,own
754,New,New
755,Körper,Body
756,hört,hears
757,Zum,For the
758,gebe,give
759,Kumpel,Dude
760,Hund,Dog
761,nochmal,again
762,hab's,got it
763,früh,early
764,Hören,Hear
765,trinken,drink
766,besten,best
767,meines,mine
768,schaffen,create
769,alte,old
770,Luft,Air
771,Jemand,Someone
772,dürfen,may
773,Meister,master
774,Erde,Earth
775,Seit,Since
776,Sicher,secure
777,Hört,Listen
778,Zukunft,Future
779,kaum,barely
780,funktioniert,functions
781,voll,full
782,Bleib,Stay
783,reicht,suffices
784,weh,sore
785,stellen,place
786,Siehst,See
787,kleiner,smaller
788,großen,huge
789,Waffen,weapons
790,Büro,Office
791,Wahl,Choice
792,verlieren,lose
793,Wochen,weeks
794,Damit,With it
795,Stück,Piece
796,lieben,love
797,allem,everything
798,getroffen,met
799,äh,uh
800,Am,At the
801,geschafft,done
802,tue,do
803,gefallen,fallen
804,Tja,Well
805,Boss,boss
806,Sieht,Sees
807,passieren,happen
808,lustig,funny
809,Licht,Light
810,gebracht,brought
811,nennen,to name
812,Folge,Consequence
813,Gefühl,Feeling
814,völlig,fully
815,denkt,thinks
816,Schlüssel,Key
817,drüben,over there
818,Richtig,Correct
819,Leuten,people
820,Buch,Book
821,laufen,run
822,spielt,plays
823,früher,earlier
824,Sein,Be
825,krank,sick
826,gegangen,gone
827,fand,found
828,Seine,His
829,Pass,passport
830,fühle,feel
831,Himmel,Heaven
832,froh,glad
833,leicht,light
834,direkt,direct
835,langsam,slow
836,wolltest,wanted
837,erinnern,remember
838,zuerst,first
839,Krankenhaus,hospital
840,Viel,Much
841,beste,best
842,welche,which
843,genommen,taken
844,Arzt,Physician
845,unserem,ours
846,Idiot,idiot
847,Machen,Make
848,glaubst,believe
849,jede,every
850,Ohne,Without
851,groß,large
852,hattest,had
853,Äh,Uh
854,Jungen,Boys
855,Rest,rest
856,Unsere,Our
857,versuche,try
858,Tagen,days
859,nächste,next
860,Entschuldigen,Excuse
861,Doktor,doctor
862,spricht,speaks
863,könnt,can
864,hält,holds
865,Team,team
866,Verstanden,Understood
867,kämpfen,battle
868,heiraten,marry
869,könntest,could
870,Wow,Wow
871,Etwas,Something
872,Straße,Street
873,Mist,Damn
874,König,king
875,redest,talk
876,kleines,small
877,lebt,lives
878,erklären,explain
879,worden,been
880,Millionen,millions
881,Wiedersehen,Goodbye
882,Onkel,Uncle
883,kennst,know
884,sitzen,sit
885,dies,this
886,weniger,fewer
887,Kaffee,Coffee
888,ernst,serious
889,wollt,want
890,tragen,carry
891,Zeug,Things
892,trotzdem,despite it
893,Ihren,Your
894,kaufen,buy
895,Liste,list
896,ändern,change
897,Kampf,Battle
898,hasse,hate
899,Person,person
900,Mund,mouth
901,umbringen,kill
902,Präsident,president
903,Boden,Floor
904,Wohin,Where
905,machte,made
906,Party,party
907,gefragt,asked
908,Seht,Look
909,irgendwo,somewhere
910,kümmern,take care
911,kennt,knows
912,verletzt,injured
913,Habt,Have
914,Nachricht,News
915,Willkommen,Welcome
916,vielen,many
917,hart,hard
918,lasse,let
919,total,total
920,Gefängnis,Jail
921,außer,except
922,Sicherheit,Security
923,Schnell,Fast
924,wem,whom
925,ehrlich,honest
926,interessiert,interested
927,Sex,sex
928,sagten,said
929,ziehen,pull
930,Welche,Which
931,Unser,Our
932,Augenblick,moment
933,angerufen,called
934,aufhören,stop
935,Klasse,Class
936,Bild,Picture
937,stark,strong
938,Dies,This
939,Eure,Your
940,zehn,ten
941,Sinn,sense
942,vorstellen,introduce
943,Traum,Dream
944,länger,longer
945,manchmal,sometimes
946,anrufen,call
947,sechs,six
948,Arschloch,asshole
949,sollst,you should
950,gestorben,died
951,Tages,day
952,war's,it was
953,verschwinden,disappear
954,Kraft,Power
955,gesprochen,spoken
956,heraus,out of here
957,genauso,just as
958,wärst,would be
959,Eins,One
960,damals,at that time
961,heißen,be called
962,Liebling,Darling
963,wahrscheinlich,probably
964,deshalb,for this reason
965,Stelle,Job
966,halt,stop
967,erwartet,expected
968,solche,such
969,meisten,most
970,bringe,bring
971,still,quiet
972,umgebracht,killed
973,Stimme,Agree
974,General,general
975,Geben,Give
976,Entschuldige,Sorry
977,Vergiss,Forget
978,rede,speech
979,führen,lead
980,Bewegung,Movement
981,höre,listen
982,Geschäft,Business
983,werdet,will
984,konnten,could
985,wartet,waits
986,Raus,Out
